product_id,product_name,category,brand,supplier_id,cost_price,selling_price,product_status
PROD00001,Maxime Home & Kitchen,Home & Kitchen,Philips,SUP096,110.28,170.44,Active
PROD00002,Voluptas Electronics,Electronics,Nike,SUP169,4425.58,6730.37,Active
PROD00003,Fugit Sports,Sports,Dove,SUP083,956.73,1214.98,Active
PROD00004,Eaque Clothing,Clothing,Nestle,SUP076,3109.25,4698.62,Active
PROD00005,Enim Beauty,Beauty,Nike,SUP117,3217.35,3669.21,Active
PROD00006,Et Sports,Sports,Dove,SUP169,3216.77,4147.9,Active
PROD00007,Numquam Clothing,Clothing,Sony,SUP106,2773.5,3910.92,Active
PROD00008,Eligendi Beauty,Beauty,Nike,SUP077,649.33,768.58,Discontinued
PROD00009,Aspernatur Home & Kitchen,Home & Kitchen,Adidas,SUP080,1635.37,2390.0,Active
PROD00010,Eligendi Electronics,Electronics,Amul,SUP099,1135.06,1483.13,Active
PROD00011,Doloribus Clothing,Clothing,Sony,SUP088,4505.32,5070.26,Active
PROD00012,Neque Groceries,Groceries,Puma,SUP030,810.24,1085.77,Active
PROD00013,Eligendi Beauty,Beauty,Samsung,SUP039,75.92,107.81,Active
PROD00014,Accusamus Sports,Sports,Philips,SUP016,4139.23,5191.38,Active
PROD00015,Itaque Groceries,Groceries,Philips,SUP163,457.37,518.52,Active
PROD00016,Consectetur Groceries,Groceries,Nestle,SUP041,4002.51,4827.3,Active
PROD00017,Aliquam Electronics,Electronics,Puma,SUP006,3624.77,4856.07,Active
PROD00018,Tenetur Home & Kitchen,Home & Kitchen,LG,SUP058,585.24,846.89,Active
PROD00019,Doloribus Electronics,Electronics,Samsung,SUP152,297.05,473.98,Discontinued
PROD00020,Consequuntur Clothing,Clothing,Nike,SUP145,3635.76,5365.3,Discontinued
PROD00021,Voluptas Groceries,Groceries,Adidas,SUP117,3377.01,3868.14,Active
PROD00022,Nisi Electronics,Electronics,Samsung,SUP067,1930.99,2192.21,Active
