promotion_id,promotion_name,promotion_type,discount_value,start_date,end_date,promotion_status
PROMO001,Campaign 1,Buy One Get One,0,2025-02-27,2025-04-20,Active
PROMO002,Campaign 2,Buy One Get One,0,2025-01-17,2025-02-25,Expired
PROMO003,Campaign 3,Fixed Amount,100,2026-01-09,2026-02-04,Active
PROMO004,Campaign 4,Percentage,5,2025-08-02,2025-09-28,Scheduled
PROMO005,Campaign 5,Percentage,25,2025-02-26,2025-04-10,Active
PROMO006,Campaign 6,Buy One Get One,0,2026-04-01,2026-05-21,Active
PROMO007,Campaign 7,Fixed Amount,1000,2024-09-11,2024-10-12,Expired
PROMO008,Campaign 8,Percentage,10,2024-08-11,2024-09-14,Scheduled
PROMO009,Campaign 9,Percentage,5,2026-01-17,2026-02-05,Expired
PROMO010,Campaign 10,Percentage,25,2026-06-23,2026-08-21,Active
PROMO011,Campaign 11,Percentage,15,2025-09-30,2025-11-16,Scheduled
PROMO012,Campaign 12,Fixed Amount,1000,2025-06-17,2025-07-01,Expired
PROMO013,Campaign 13,Fixed Amount,500,2025-10-24,2025-11-26,Scheduled
PROMO014,Campaign 14,Percentage,10,2025-05-19,2025-05-28,Expired
PROMO015,Campaign 15,Fixed Amount,500,2026-03-05,2026-03-15,Expired
PROMO016,Campaign 16,Percentage,10,2025-12-14,2026-02-02,Scheduled
PROMO017,Campaign 17,Buy One Get One,0,2025-07-21,2025-08-22,Expired
PROMO018,Campaign 18,Percentage,20,2025-07-24,2025-09-11,Active
PROMO019,Campaign 19,Percentage,30,2025-08-12,2025-09-12,Active
PROMO020,Campaign 20,Fixed Amount,250,2026-06-01,2026-06-13,Active
PROMO021,Campaign 21,Fixed Amount,500,2026-01-17,2026-02-06,Scheduled
PROMO022,Campaign 22,Percentage,5,2025-05-23,2025-07-14,Expired
PROMO023,Campaign 23,Buy One Get One,0,2026-01-25,2026-03-09,Expired
PROMO024,Campaign 24,Fixed Amount,100,2025-10-29,2025-11-14,Expired
PROMO025,Campaign 25,Percentage,40,2025-04-21,2025-05-10,Expired
PROMO026,Campaign 26,Percentage,20,2024-12-31,2025-01-24,Active
PROMO027,Campaign 27,Percentage,20,2025-04-19,2025-05-16,Active
PROMO028,Campaign 28,Buy One Get One,0,2024-12-30,2025-01-14,Expired
PROMO029,Campaign 29,Buy One Get One,0,2026-01-19,2026-02-28,Active
PROMO030,Campaign 30,Percentage,10,2026-02-03,2026-02-27,Scheduled
PROMO031,Campaign 31,Buy One Get One,0,2025-01-15,2025-02-10,Scheduled
PROMO032,Campaign 32,Buy One Get One,0,2025-07-11,2025-08-17,Expired
